2018-10-19 10:05:08.402 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zyl.StringbootApplicationTests], using SpringBootContextLoader
2018-10-19 10:05:08.447 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zyl.StringbootApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-10-19 10:05:08.448 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zyl.StringbootApplicationTests]: StringbootApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-10-19 10:05:08.721 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zyl.StringbootApplication for test class com.zyl.StringbootApplicationTests
2018-10-19 10:05:09.022 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-10-19 10:05:09.065 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@8c46a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@f8b2dc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@8400f6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@29e4f4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@18500f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1ff64c2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@12c4efb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@35172e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2db68f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@c41abc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@166d049, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1ce23ac]
2018-10-19 10:05:21.744 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zyl.StringbootApplicationTests], using SpringBootContextLoader
2018-10-19 10:05:21.786 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zyl.StringbootApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-10-19 10:05:21.789 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zyl.StringbootApplicationTests]: StringbootApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-10-19 10:05:22.218 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zyl.StringbootApplication for test class com.zyl.StringbootApplicationTests
2018-10-19 10:05:22.737 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
